"filename", "language", "JSON", "YAML", "Markdown", "TypeScript", "Shell Script", "Python", "XML", "TypeScript JSX", "JSON with Comments", "Swift", "JavaScript", "Log", "HTML", "SCSS", "TOML", "comment", "blank", "total"
"/Users/johndoe/Documents/company/video_ops/bin/start-remotion-ngrok.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 72
"/Users/johndoe/Documents/company/video_ops/bin/strip-series-prefix-from-episodes.py", "Python", 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32, 242
"/Users/johndoe/Documents/company/video_ops/bin/sync-outdoor-endpoints.ts", "TypeScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 90
"/Users/johndoe/Documents/company/video_ops/design.md", "Markdown", 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 495
"/Users/johndoe/Documents/company/video_ops/docs/animation-beat-schema.md", "Markdown", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 239
"/Users/johndoe/Documents/company/video_ops/docs/animation-markdown-language.md", "Markdown", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 95, 367
"/Users/johndoe/Documents/company/video_ops/docs/animation-track-schema.md", "Markdown", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 132
"/Users/johndoe/Documents/company/video_ops/docs/examples/lean4/scene-1-lean4-goal.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"/Users/johndoe/Documents/company/video_ops/docs/examples/lean4/scene-1-lean4.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/johndoe/Documents/company/video_ops/docs/pipeline-runbook-sets-v2-04.md", "Markdown", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 227
"/Users/johndoe/Documents/company/video_ops/docs/remotion-kit-refactor-progress.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"/Users/johndoe/Documents/company/video_ops/docs/video-kit.md", "Markdown", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 137
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 3, 24, 364
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/OFFLINE_INSTALL.md", "Markdown", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 99
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/README.md", "Markdown", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 141
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/app.json", "JSON", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 78
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/sample-outdoor-script.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/01-set.json", "JSON", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 131
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/02-subset.json", "JSON", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 96
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/03-proper-subset.json", "JSON", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 110
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/04-set-equality.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/05-empty-set.json", "JSON", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 82
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/06-empty-subset-theorem.json", "JSON", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 82
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/07-union.json", "JSON", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 82
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/08-intersection.json", "JSON", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/09-disjoint.json", "JSON", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/10-complement.json", "JSON", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/11-difference.json", "JSON", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/assets/scripts/12-union-idempotent.json", "JSON", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 82
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/eas.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/metro.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 8, 34
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/modules/outdoor-icloud-inbox/expo-module.config.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
